City,Month,AQI,Hospital,Resp,Emergency
Surat,1,153.39407841066208,0.010369795,0.0051325425,0.0026285218
Surat,2,247.2533620304173,0.010223851,0.0051709157,0.0025729924
Surat,3,250.26826770429298,0.010410561,0.0051709157,0.0026285218
Surat,4,219.41362238256428,0.010410561,0.0051709157,0.0026285218
Surat,5,177.94989321622552,0.010410561,0.0051709157,0.0026285218
Surat,6,175.5202628376552,0.010410561,0.0051709157,0.0026285218
Surat,7,229.47364828126538,0.010410561,0.0051709157,0.0026285218
Surat,8,195.16625802692636,0.010410561,0.0051709157,0.0026285218
Surat,9,210.44557741434525,0.010369795,0.0051709157,0.0026285218
Surat,10,215.18456489988625,0.010369795,0.0051709157,0.0026285218
Surat,11,259.4841939129208,0.010369795,0.0051709157,0.0026285218
Surat,12,257.9590621664193,0.010369795,0.0051709157,0.0026285218
Surat,13,158.91768975661103,0.010369795,0.0051325425,0.0026285218
Surat,14,224.54917768603954,0.010223851,0.0051709157,0.0025729924
Surat,15,252.92786470092696,0.010410561,0.0051709157,0.0026285218
Surat,16,220.29275850309386,0.010410561,0.0051709157,0.0026285218
Surat,17,174.5820563032912,0.010410561,0.0051709157,0.0026285218
Bhopal,0,251.20097122595647,0.010369795,0.0051709157,0.0026285218
Bhopal,1,283.15099566358975,0.010369795,0.0051709157,0.0026285218
Bhopal,2,307.9853631943657,0.010223851,0.0051709157,0.0025729924
Bhopal,3,288.65044788198514,0.010410561,0.0051709157,0.0026285218
Bhopal,4,228.6234940955409,0.010410561,0.0051709157,0.0026285218
Bhopal,5,293.868157376038,0.010410561,0.0051709157,0.0026285218
Bhopal,6,280.92306596529926,0.010410561,0.0051709157,0.0026285218
Bhopal,7,231.28710750253276,0.010410561,0.0051709157,0.0026285218
Bhopal,8,210.614112687597,0.010410561,0.0051709157,0.0026285218
Bhopal,9,300.4315006990899,0.010369795,0.0051709157,0.0026285218
Bhopal,10,306.32658372421145,0.010369795,0.0051709157,0.0026285218
Bhopal,11,294.96235667846673,0.010369795,0.0051709157,0.0026285218
Bhopal,12,180.32536467652972,0.010369795,0.0051709157,0.0026285218
Bhopal,13,286.3981820302992,0.010369795,0.0051709157,0.0026285218
Bhopal,14,282.0009955806649,0.010223851,0.0051709157,0.0025729924
Bhopal,15,255.80833847585333,0.010410561,0.0051709157,0.0026285218
Bhopal,16,247.11089319513155,0.010410561,0.0051709157,0.0026285218
Bhopal,17,246.97866020913673,0.010410561,0.0051709157,0.0026285218
